station_id,q_meas_max,n_meas,n_good,q_meas_max_good
09484600,8600.0,306,10,5.23
09492400,985.0,170,77,143.0
09494000,23700.0,195,105,1690.0
09497980,15700.0,174,126,380.0
09505350,6920.0,174,33,1100.0
09505800,24900.0,290,66,2070.0
09508300,7380.0,220,15,40.4
09510200,24200.0,268,56,286.0
09512280,14000.0,151,28,316.0
09513780,20700.0,138,40,18600.0
10234500,675.0,326,49,415.0
10244950,64.4,429,193,64.4
10259000,1960.0,288,49,133.0
10336645,786.0,451,157,577.0
10336660,1700.0,470,165,531.0
10343500,495.0,543,365,161.0
11124500,5060.0,224,88,2070.0
11141280,2830.0,521,281,295.0
11143000,10800.0,604,321,1380.0
11148900,57000.0,299,134,4090.0
11151300,11500.0,612,267,939.0
11176400,8790.0,184,68,8790.0
11230500,669.0,34,16,447.0
11237500,340.0,36,15,189.0
11264500,3940.0,780,325,3440.0
11266500,23500.0,741,424,6970.0
11284400,1970.0,262,72,700.0
11381500,36400.0,238,173,6840.0
11451100,7960.0,277,134,2320.0
11468500,7360.0,210,136,7360.0
11473900,51100.0,244,107,10000.0
11475560,3660.0,249,52,650.0
11476600,3760.0,364,104,2060.0
11478500,43500.0,405,185,19700.0
11480390,5530.0,378,111,3600.0
11481200,9720.0,404,173,3020.0
11482500,44400.0,463,219,18100.0
11522500,56900.0,287,232,17800.0
11523200,26500.0,245,165,6260.0
11528700,44800.0,274,211,15600.0
11532500,152000.0,377,272,105000.0
12010000,10300.0,568,436,9380.0
12013500,8010.0,407,365,7680.0
12020000,63100.0,533,481,63100.0
12025700,9430.0,276,170,2600.0
12035000,55500.0,671,505,43500.0
12040500,92500.0,197,147,44400.0
12041200,46000.0,164,125,19800.0
12048000,7120.0,196,162,3000.0
12054000,8480.0,172,111,4240.0
12056500,24400.0,174,131,6780.0
12073500,472.0,465,122,222.0
12082500,15000.0,221,149,5220.0
12092000,16000.0,612,82,2510.0
12114500,7620.0,401,121,851.0
12115000,9500.0,463,438,9500.0
12117000,2760.0,187,121,1050.0
12143600,8000.0,179,146,6540.0
12144000,7930.0,174,163,7930.0
12145500,3430.0,216,152,2620.0
12147500,8520.0,158,116,1470.0
12167000,44000.0,377,258,17600.0
12175500,15600.0,334,271,3450.0
12178100,8430.0,179,49,388.0
12186000,44000.0,361,304,10200.0
12189500,97300.0,327,275,19900.0
12375900,599.0,251,61,196.0
12377150,404.0,261,148,404.0
12381400,800.0,249,58,552.0
12383500,56.6,246,94,56.6
12390700,5490.0,320,163,2570.0
12411000,22000.0,238,209,8210.0
12447390,541.0,265,65,121.0
12451000,18800.0,506,426,10100.0
12488500,2890.0,560,253,1740.0
13011500,3540.0,329,239,3200.0
13011900,5940.0,316,219,5940.0
13018300,120.0,225,15,120.0
13023000,5780.0,303,206,5780.0
13161500,1350.0,363,158,538.0
13235000,8260.0,648,442,8260.0
13240000,18000.0,589,425,1660.0
13313000,4420.0,681,285,4420.0
13331500,4480.0,170,72,4330.0
14020000,4910.0,162,131,1680.0
14096850,5760.0,152,136,1330.0
14137000,21800.0,140,80,14800.0
14138800,2610.0,144,33,462.0
14138870,572.0,169,69,450.0
14138900,2440.0,187,51,566.0
14139800,3630.0,171,14,726.0
14141500,2750.0,170,72,1740.0
14154500,7740.0,217,56,5690.0
14158790,5160.0,143,25,211.0
14166500,4790.0,196,107,3290.0
14182500,16300.0,154,88,10900.0
14185000,17200.0,161,129,17200.0
14185900,23700.0,158,45,7610.0
14187000,7080.0,133,50,7080.0
14216500,8290.0,360,275,7410.0
14222500,28600.0,253,221,28600.0
14236200,29100.0,151,120,7920.0
14301000,70500.0,207,137,34700.0
14303200,680.0,189,77,184.0
14305500,53800.0,165,113,7650.0
14306340,1160.0,177,46,142.0
14306500,33800.0,156,77,33800.0
14308990,2450.0,169,96,2450.0
14309500,10400.0,276,71,4900.0
14316700,26900.0,276,189,8740.0
14325000,19300.0,267,160,9800.0
14362250,1050.0,168,34,162.0
14400000,53100.0,178,64,10700.0
